    1;    1;   26;  0.00
    2;   26;   27;  0.00
    3;   27;   28;  3.11
    4;   28;   29;  0.00
    5;   29;   16;  3.20
    6;    1;   30;  0.00
    7;   30;   31; -2.66
    8;   31;   32;  0.00
    9;   32;   33; -2.72
   10;   33;   34;  0.00
   11;   34;   35;  5.40
   12;   35;   36;  0.00
   13;   36;   37; -3.16
   14;   37;   38; -3.15
   15;   38;    4;  5.00
   18;   88;   13;  2.45
   19;    1;   39; -2.93
   20;   39;   40;  2.93
   21;   40;   41;  0.00
   22;    2;   42; -2.14
   23;   42;   43;  3.62
   24;   43;   44;  0.00
   25;   44;   45;  3.63
   26;   45;   46;  0.00
   27;   46;   47; -5.82
   28;   47;   48;  0.00
   29;   48;   49;  3.66
   30;   49;   50;  3.61
   31;   50;   51;  0.00
   32;   51;   52;  0.00
   33;   52;   53;  3.66
   34;   53;   54;  0.00
   35;   54;   19;  3.59
   36;    3;   55;  0.00
   37;   55;   56; -3.62
   38;   56;   14;  0.00
   39;    7;   12; -3.14
   40;    2;   57;  0.00
   41;   57;    3;  0.00
   42;    5;   58;  0.00
   43;   58;    6;  0.00
   44;    6;    7;  0.00
   45;    4;    5;  0.00
   46;    2;   59; -3.62
   47;   59;    5;  3.21
   48;    6;   60;  2.60
   49;   60;    3; -2.90
   50;    4;   61; -2.67
   51;   61;   62;  2.74
   52;    7;   63;  2.94
   53;   63;   64; -2.68
   54;   62;   64;  0.00
   55;   12;   13;  0.00
   56;   12;   15; -2.71
   57;   15;   65;  0.00
   58;   15;   66; -2.79
   59;   66;   67;  2.66
   60;   67;   68;  0.00
   61;   68;   69; -3.17
   62;   69;   11;  0.00
   63;   11;   70;  0.00
   64;   70;   71;  0.00
   65;   11;   10;  2.37
   66;   10;    9;  0.00
   67;    9;    8;  0.00
   68;    8;   72;  0.00
   69;   72;   73; -2.93
   70;   73;   74;  0.00
   71;   10;   75; -3.60
   72;   75;   76;  0.00
   73;    9;   77; -2.82
   74;   77;   78;  0.00
   75;    8;   79; -2.78
   76;   79;   80;  0.00
   77;   16;   17;  0.00
   78;   17;   81;  0.00
   80;   91;   82;  0.00
   81;   82;   81;  0.00
   82;   20;   83;  0.00
   83;   83;   21;  0.00
   84;   21;   84;  0.00
   85;   84;   14;  3.38
   86;   91;   13;  2.95
   87;   16;   85;  2.46
   88;   85;   86; -3.07
   89;   86;   87;  0.00
   90;   87;   88;  0.00
   94;   21;   90;  2.59
   95;   90;   18; -2.64
   96;   19;   92;  0.00
   97;   92;   20;  0.00
   98;   17;   93; -2.70
   99;   93;   20;  2.32
  100;   19;   22; -2.80
  101;   22;   23;  0.00
  102;   94;   25;  0.00
  103;   25;   24;  0.00
  104;   24;   95;  0.00
  105;   22;   96;  2.59
  106;   96;   97;  0.00
  107;   97;   98;  0.00
  108;   98;   99;  3.54
  109;   99;   14;  0.00
  110;   23;  100;  0.00
  111;  100;   25;  2.04
  112;   24;  101; -2.55
  113;  101;  102;  2.51
  114;  102;  103;  0.00
  115;   23;  104;  2.57
  116;  104;  105;  0.00
  117;   95;  106;  0.00
